subject,4,8
sub-NDARFP512MEK_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.7831660983461116e-06,1.80266070235527e-06
sub-NDARFU786BN4_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.613075155518218e-06,1.6816818192139566e-06
sub-NDARFG943GVZ_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,2.593846081597031e-06,3.357172868823148e-06
sub-NDARAU708TL8_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.1727739446956217e-06,1.281159632746356e-06
sub-NDARCD661GL0_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,2.029866518605361e-06,1.5864864500602725e-06
sub-NDARDZ425JVB_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,2.007387093224657e-06,2.196620698124997e-06
sub-NDAREK575JNM_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.5398364067256038e-06,1.5978042990039211e-06
sub-NDARAE877NER_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.509768086120995e-06,1.4763069612323086e-06
sub-NDARGR893PUA_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.473726590816747e-06,1.4596355475084394e-06
sub-NDARAX277ATU_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,1.0205343362304608e-06,1.28638665512546e-06
sub-NDARDB224XUD_ses-01_task-surroundSuppBlock1_run-01_proc-PEPPER_pipeline_eeg_epo,8.906558917948054e-08,7.530289749078064e-08
sub-NDARFG851ZNZ_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,2.5597081968141345e-06,1.831953719927983e-06
sub-NDARDL305BT8_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.1191475531882266e-06,1.602633398033888e-06
sub-NDARHF545HFW_ses-01_task-surroundSuppBlock2_run-01_proc-PEPPER_pipeline_eeg_epo,1.1406974719530243e-06,2.0316530069745893e-06
